"id","name_en","name_th","description","version","source","updated_at","dataset","status","included_scope","unimported_scope","unverified_fields","notes"
"weapons_catalogue_coverage","Weapons catalogue coverage","สถานะความครบถ้วนของรายการอาวุธ","Complete catalogue import from the referenced Weapons page. Field-level details remain partial where the source list does not state them.","0.5.0","[""https://the-wild-darkness.fandom.com/wiki/Weapons""]","2026-07-20","weapons","catalogue_complete","[""Tiered dagger weapons"",""Tiered sword weapons"",""Tiered blunt weapons"",""Tiered two-hand sword weapons"",""Tiered two-hand blunt weapons"",""Tiered combat weapons"",""Tiered staff weapons"",""Tiered bow weapons"",""Arrow category""]","[]","[""name_th"",""description"",""version"",""attack"",""attack_speed"",""durability"",""craft_recipe"",""possible_options"",""recommended_classes""]","All entries listed on the referenced Weapons page are present. A null field means the source page used for this import did not verify that value."
"armor_catalogue_coverage","Armor catalogue coverage","สถานะความครบถ้วนของรายการเกราะ","Complete catalogue import from the referenced Armor page. Field-level details remain partial where the source list does not state them.","0.6.0","[""https://the-wild-darkness.fandom.com/wiki/Armor""]","2026-07-20","armor","catalogue_complete","[""Tiered shields"",""Tiered clothes"",""Tiered light armor"",""Tiered heavy armor"",""Tiered hats"",""Tiered helmets"",""Tiered gloves"",""Shoes category"",""Cloak category""]","[]","[""name_th"",""description"",""version"",""defense"",""durability"",""craft_recipe"",""possible_options"",""recommended_classes""]","All entries listed on the referenced Armor page are present. A null field means the source page used for this import did not verify that value."
"accessories_catalogue_coverage","Accessories catalogue coverage","สถานะความครบถ้วนของรายการเครื่องประดับ","Complete catalogue import from the accessory section of the referenced Armor page. Field-level details remain partial where the source list does not state them.","0.6.0","[""https://the-wild-darkness.fandom.com/wiki/Armor""]","2026-07-20","accessories","catalogue_complete","[""Accessory category entries""]","[]","[]","All entries listed in the accessory section of the referenced Armor page are present. A null field means the source page used for this import did not verify that value."
"magic_catalogue_coverage","Magic catalogue coverage","สถานะความครบถ้วนของเวทมนตร์","Complete import of entries listed on the referenced Spells page.","0.3.1","[""https://the-wild-darkness.fandom.com/wiki/Spells""]","2026-07-20","magic","catalogue_complete","[""All entries listed on the Spells page""]","[]","[""name_th"",""mana_cost"",""cooldown"",""scaling"",""craft_source""]","A null field was not verified by the referenced source page."
"bosses_catalogue_coverage","Bosses catalogue coverage","สถานะความครบถ้วนของบอส","Imported story and Ruins boss names documented by the referenced page; detailed combat data is not supplied by that page.","0.8.2","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","bosses","partial","[""Story bosses"",""Ruins where the Devil Sleeps bosses"",""Infinite Abyss of Dreams boss recurrence""]","[""Boss statistics and skill details not documented by the source page""]","[""name_th"",""skills"",""recommended_level""]","Names, stated locations, drops, and strategy notes were imported only where the source verifies them."
"quests_catalogue_coverage","Quests catalogue coverage","สถานะความครบถ้วนของภารกิจ","Complete import of the Starting and Normal Mission tables documented by the referenced page.","0.9.2","[""https://the-wild-darkness.fandom.com/wiki/Missions""]","2026-07-20","quests","catalogue_complete","[""All documented Starting Missions"",""All documented Normal Missions""]","[]","[""name_th"",""description"",""version"",""unlock_condition""]","The page is marked as a community stub; this status is complete only for the mission entries currently documented on that page."
"materials_catalogue_coverage","Materials catalogue coverage","สถานะความครบถ้วนของวัสดุ","Expanded from the referenced Crafting Materials list; remaining listed entries have not yet been imported.","0.7.1","[""https://the-wild-darkness.fandom.com/wiki/Crafting_Materials""]","2026-07-20","materials","partial","[""Base raw materials"",""Selected processed materials"",""First alphabetical special-material entries""]","[""Remaining materials listed after Fish Fin Fragment""]","[""name_th"",""description"",""version"",""tier"",""used_in""]","Material category and obtain method are set only when explicitly stated in the referenced list."
"monsters_catalogue_coverage","Monsters catalogue coverage","สถานะความครบถ้วนของมอนสเตอร์","Only creatures cross-referenced from imported maps and category pages are present.","0.8.1","[""https://the-wild-darkness.fandom.com/wiki/Category%3ACreatures""]","2026-07-20","monsters","partial","[""Forest Entrance"",""Strange Forest"",""Desolate Meadow"",""Endless Wasteland"",""Snowy Ridge cross-references""]","[""Remaining creature pages and biomes""]","[""name_th"",""description"",""weakness"",""resistance""]","No creature statistic or drop is inferred from map presence."
"maps_catalogue_coverage","Maps catalogue coverage","สถานะความครบถ้วนของแผนที่","Five verified overworld maps are present; the map catalogue is not yet complete.","0.9.0","[""https://the-wild-darkness.fandom.com/wiki/Forest_Entrance""]","2026-07-20","maps","partial","[""Forest Entrance"",""Strange Forest"",""Desolate Meadow"",""Endless Wasteland"",""Snowy Ridge""]","[""Remaining biomes, dungeons, and special areas""]","[""name_th"",""description""]","Each imported map retains its page-level source URL."
"items_catalogue_coverage","Items catalogue coverage","สถานะความครบถ้วนของไอเท็ม","The generic items dataset is intentionally empty until entries can be sourced without duplicating specialized datasets.","0.1.0","[""https://the-wild-darkness.fandom.com/wiki/Items""]","2026-07-20","items","not_started","[]","[""Generic non-food, non-equipment, non-material item catalogue""]","[]","The dataset stays empty rather than adding unverified or duplicate records."
